,Filename,Metadata Filename,MD5,Timestamp,Vulnerability,Vuln ID,CWE,Packed,Entropy,Packer,Compiler,Linker
0,61827e88a1f24951ae8fd6c2f0a6392d-Postcast_Easymail_3.0.61,10007,61827e88a1f24951ae8fd6c2f0a6392d,12/11/2009,ActiveX Control Remote Buffer Overflow,[],[],packed,7.94874,,Microsoft Visual C/C++(13.00.9466)[C],Microsoft Linker(7.00.9466)
1,b346f16e5851ade36e7ad431e53912d1-Free_Download_Manager_3.0_Build_844,10009,b346f16e5851ade36e7ad431e53912d1,11/11/2009,'.Torrent' File Parsing Multiple Buffer Overflow Vulnerabilities (Metasploit),"['cve-2009-0184', 'osvdb-54033']",['CWE-119'],packed,7.99935,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
2,50e158b746ed45b44f88c36b7bef7b7e-FWMCSetup11,10010,50e158b746ed45b44f88c36b7bef7b7e,09/10/2009,'.wav' Local Buffer Overflow,['osvdb-58713'],[],packed,7.99513,,Microsoft Visual C/C++(12.00.8447)[C],Microsoft Linker(6.00.8447)
3,bb486bd61b0b8adf6c055f6dad5e0782-fem-dist,10047,bb486bd61b0b8adf6c055f6dad5e0782,12/10/2009,Remote Source Disclosure,[],[],packed,7.98873,,Microsoft Visual C/C++(12.00.8168)[C],Microsoft Linker(6.00.8168)
4,1ddeb2f8b58703be52c13f53c4d21e32-xm_ftp_server_5.8.0,10073,1ddeb2f8b58703be52c13f53c4d21e32,02/10/2009,Denial of Service,[],[],packed,7.96223,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
5,0bce68395362f0452f875d0805c6e480-ftpdmin,10100,0bce68395362f0452f875d0805c6e480,20/03/2007,'LIST' Remote Denial of Service,"['cve-2007-1580', 'osvdb-34524']",['CWE-119'],not packed,5.72155,,Microsoft Visual C/C++(12.00.8168)[C],Microsoft Linker(5.12.8034)
6,ae3a51955377f6647ec2c07bffc855d6-Thunderbird_Setup_2.0.0.23,10103,ae3a51955377f6647ec2c07bffc855d6,16/11/2009,'jar50.dll' Null Pointer Dereference,[],[],packed,7.99961,"UPX(2.03)[NRV,brute]",Microsoft Visual C/C++(12.00.8799)[C++],Microsoft Linker(6.00.8797)
7,1ddeb2f8b58703be52c13f53c4d21e32-xm_ftp_server_5.8.0,10104,1ddeb2f8b58703be52c13f53c4d21e32,13/11/2009,'APPE' / 'DELE' Denial of Service,"['cve-2009-4108', 'cve-2009-4048', 'osvdb-60494']","['CWE-119', 'NVD-CWE-Other']",packed,7.96223,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
8,689c18f81065e027d5b1dbd599294084-FTPXQ_Server_3.0.0.1.EXE,10160,689c18f81065e027d5b1dbd599294084,17/11/2009,(Authenticated) Remote Denial of Service,[],[],packed,7.99886,,,
9,76c102565c046053bce86bf159bf5a7e-HomeFtpServerInstall,10162,76c102565c046053bce86bf159bf5a7e,17/11/2009,'MKD' Directory Traversal,"['cve-2009-4053', 'osvdb-60449']",['CWE-22'],packed,7.98905,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
10,acec5b375b2d35c228e10765cc100624-babywebssl,10171,acec5b375b2d35c228e10765cc100624,18/11/2009,found Denial of Service,[],[],not packed,5.7218,,Microsoft Visual C/C++(12.00.8966)[C++],Microsoft Linker(6.00.8569)
11,65bf2a6553880cf61879fa43760f482c-tekuva_password_reminder_1.0.0.1,10201,65bf2a6553880cf61879fa43760f482c,21/11/2009,Password Reminder Authentication Bypass,"['osvdb-60813', 'cve-2009-4781']",['CWE-255'],not packed,6.10912,,Microsoft Visual C/C++(15.00.21022)[C++],Microsoft Linker(9.00.21022)
12,1ddeb2f8b58703be52c13f53c4d21e32-xm_ftp_server_5.8.0,10221,1ddeb2f8b58703be52c13f53c4d21e32,24/11/2009,Remote Denial of Service,"['cve-2009-4108', 'cve-2009-4048', 'osvdb-60494']","['CWE-119', 'NVD-CWE-Other']",packed,7.96223,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
13,4b1d218f322829b370c3731516cb04cf-TYPSoft_FTPd_1.10,10223,4b1d218f322829b370c3731516cb04cf,24/11/2009,APPE DELE Denial of Service,"['cve-2009-4105', 'osvdb-60658']",['CWE-20'],packed,6.57199,,Borland Delphi(7)[Enterprise],"Turbo Linker(2.25*,Delphi)[GUI32]"
14,6721e6e83abf73a9553ce00aa47bbc86-wa208_en,10225,6721e6e83abf73a9553ce00aa47bbc86,26/05/2006,SQL Injection,[],[],packed,7.9856,,Microsoft Visual C/C++(12.00.8799)[C],Microsoft Linker(6.00.8447)
15,b94b7da39cdac958787402df974a8c76-serenity-3.2.3-win32-installer,10226,b94b7da39cdac958787402df974a8c76,25/11/2009,'.m3u' Local Buffer Overflow,"['cve-2009-4097', 'osvdb-60503']",['CWE-119'],packed,7.13826,,Microsoft Visual C/C++(13.10.2190)[C],Microsoft Linker(6.0)
16,2b0e55c58e1355c4bd0143d06ce3d239-EurekaEmailSetup,10235,2b0e55c58e1355c4bd0143d06ce3d239,26/11/2009,Remote Buffer Overflow,"['cve-2009-3837', 'osvdb-59262']",['CWE-119'],packed,7.99694,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
17,3c35dc3d6067fcc50f118500eb116c0b-millennium1,10240,3c35dc3d6067fcc50f118500eb116c0b,28/11/2009,'pls' Local Buffer Overflow,['osvdb-56574'],[],packed,7.9192,,Microsoft Visual C/C++(12.00.8447)[C++],Microsoft Linker(5.12.8034)
18,f54d30aaef5ae879e26f51ed4d3eb278-SumatraPDF-1.0,10244,f54d30aaef5ae879e26f51ed4d3eb278,28/11/2009,'pdf_shade4.c' Multiple Stack Buffer Overflows,"['cve-2009-4117', 'osvdb-60609']",['CWE-119'],packed,7.96908,"UPX(3.03)[LZMA,brute]",Microsoft Visual C/C++(15.00.30729)[LTCG/C],Microsoft Linker(9.00.30729)
19,1ddeb2f8b58703be52c13f53c4d21e32-xm_ftp_server_5.8.0,10257,1ddeb2f8b58703be52c13f53c4d21e32,30/11/2009,Denial of Service,[],[],packed,7.96223,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
20,09149fd2f81d5ec167b96375e3858911-golden-ftp-server-free-setup,10258,09149fd2f81d5ec167b96375e3858911,01/12/2009,File Deletion,"['osvdb-60631', 'cve-2009-4194']",['CWE-22'],packed,7.98626,,Microsoft Visual C/C++(13.10.4035)[C],Microsoft Linker(6.0)
21,9f8558a9ec0d450048cdc00ea0abf11b-Haihaisoft-Universal-Player-EN,10269,9f8558a9ec0d450048cdc00ea0abf11b,01/12/2009,'URL' Property ActiveX Buffer Overflow,"['cve-2009-4219', 'osvdb-60543']",['CWE-119'],packed,7.99674,,Microsoft Visual C/C++(14.00.50727)[C],Microsoft Linker(8.00.50727)
22,e6d4cede5b8057aec3f306cc7925f42b-FutureSoft_TFTP_Server_2000_1.0.0.1,1027,e6d4cede5b8057aec3f306cc7925f42b,02/06/2005,Remote Denial of Service,"['osvdb-16954', 'cve-2005-1812']",['CWE-119'],packed,7.93724,,Microsoft Visual C/C++(11.00-13.10),
23,1bfa5e55b11542015dc5811fada84948-aimp_2.51.330,10280,1bfa5e55b11542015dc5811fada84948,21/11/2009,Playlist '.pls' Unicode Buffer Overflow,"['cve-2009-3170', 'osvdb-58125']",['CWE-119'],packed,7.99725,,Microsoft Visual C/C++(13.10.2190)[C],Microsoft Linker(6.0)
24,89c7a79760c32471356792bf594e0883-Server317,10303,89c7a79760c32471356792bf594e0883,04/12/2009,Denial of Service,['osvdb-60809'],[],packed,7.99568,,Microsoft Visual C/C++(12.00.8168)[C],Microsoft Linker(6.00.8168)
25,0e0a52a70e40416ddaca6253c25c1926-IA_Us,10319,0e0a52a70e40416ddaca6253c25c1926,05/12/2009,Local Buffer Overflow,"['osvdb-60681', 'cve-2009-4265']",['CWE-119'],packed,7.9717,,Microsoft Visual C/C++(13.00.9178)[C],Microsoft Linker(6.20.8755)
26,9c4471e6043b1e9a30d6bba4d5ac9a0e-m3u-asxwpl11,10320,9c4471e6043b1e9a30d6bba4d5ac9a0e,05/12/2009,'.m3u' Local Buffer Overflow,[],[],packed,7.83233,"UPX(1.25)[NRV,brute]",Microsoft Visual C/C++(13.00.8830)[C++],Microsoft Linker(5.12.8034)
27,ffde6013c622c033d31fb892b283a1ce-htmlhelp,10321,ffde6013c622c033d31fb892b283a1ce,05/12/2009,'.hhp' Local Buffer Overflow (1),"['cve-2009-0133', 'cve-2006-0564', 'osvdb-22941']","['CWE-119', 'NVD-CWE-Other']",packed,7.99283,,Microsoft Visual C/C++(12.00),
28,d59f24b86431eeb25281bce7817783f1-audacity-win-1.2.6,10322,d59f24b86431eeb25281bce7817783f1,05/12/2009,'.gro' Local Buffer Overflow,"['cve-2009-0490', 'osvdb-51070']",['CWE-787'],packed,7.99539,,Borland Delphi(2),"Turbo Linker(2.25*,Delphi)[GUI32]"
29,ffde6013c622c033d31fb892b283a1ce-htmlhelp,10323,ffde6013c622c033d31fb892b283a1ce,05/12/2009,hhp Universal Buffer Overflow,[],[],packed,7.99283,,Microsoft Visual C/C++(12.00),
30,349140528a8fee55884e8eba65d985d8-iws2,10331,349140528a8fee55884e8eba65d985d8,06/12/2009,Directory Traversal,[],[],packed,7.95929,,,Microsoft Linker(5.10.7303)
31,0e0a52a70e40416ddaca6253c25c1926-IA_Us,10332,0e0a52a70e40416ddaca6253c25c1926,06/12/2009,Local Buffer Overflow (Metasploit),"['cve-2009-4265', 'osvdb-60681']",['CWE-119'],packed,7.9717,,Microsoft Visual C/C++(13.00.9178)[C],Microsoft Linker(6.20.8755)
32,5c707790262c303361d05a144c8089f4-vlc-1.0.3-win32,10333,5c707790262c303361d05a144c8089f4,06/12/2009,'smb://' URI Handling Remote Stack Overflow (PoC),[],[],packed,7.99943,,MinGW,GNU linker ld (GNU Binutils)(2.56*)[GUI32]
